"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","DLAMP","EIGHT","ZID","2024/07/11","Y","ANCHR.DLAMP8","SDF"
"2025/11/27","ANJLL","FOUR","ZLA","2018/07/19","Y","ANJLL.ANJLL4","LAX"
"2025/11/27","BIGBR","THREE","ZLA","2018/05/24","Y","ANJLL.BIGBR3","LAX"
"2025/11/27","ANNEY","FIVE","ZMA","2025/08/07","N","ANNEY.ANNEY5","07FA HST MIA TMB X51"
"2025/11/27","DANEI","THREE","ZID","2019/10/10","N","APE.DANEI3","DAY FFO MGY MWO SGH"
"2025/11/27","EMMLN","ONE","ZLA","2022/11/03","N","APLES.EMMLN1","FUL HHR LGB SLI SNA"
"2025/11/27","ARKOE","ONE","ZLA","2012/04/05","N","ARKOE.ARKOE1","RIV"
"2025/11/27","ARLIN","FOUR","ZAB","2017/04/27","N","ARLIN.ARLIN4","CHD DVT FFZ IWA P19 PHX SDL"
"2025/11/27","ARRIE","NINE","ZSE","2024/12/26","N","ARRIE.ARRIE9","TCM"
"2025/11/27","AWDAD","ONE","ZHU","2017/12/07","N","AWDAD.AWDAD1","MSY NEW"
"2025/11/27","DEHAN","THREE","ZTL","2020/07/16","Y","AWSON.DEHAN3","6A2 CCO CTJ CVC D73 FFC FTY HMP LZU MGE PDK PUJ RYY VPC"
"2025/11/27","GIGGY","TWO","ZOB","2019/10/10","Y","AXXIS.GIGGY2","CYQG DET ONZ TTF"
"2025/11/27","OKLND","ONE","ZOB","2018/05/24","Y","AXXIS.OKLND1","ARB OZW PTK VLL YIP"
"2025/11/27","BAGGY","THREE","ZJX","2022/01/27","Y","BAGGY.BAGGY3","CHS JZI"
"2025/11/27","BAINY","THREE","ZMP","2017/01/05","Y","BAINY.BAINY3","MSP"
"2025/11/27","INOYI","ONE","ZHN","2020/01/30","Y","BAMBO.INOYI1","HNL"
"2025/11/27","BANGZ","TWO","ZMA","2025/04/17","Y","BANGZ.BANGZ2","CLW PIE SPG SRQ VNC"
"2025/11/27","BANKR","FIVE","ZTL","2024/05/16","Y","BANKR.BANKR5","CLT"
"2025/11/27","BARET","FIVE","ZLA","2015/01/08","N","BARET.BARET5","NZY SAN"
"2025/11/27","BASET","FIVE","ZLA","2017/12/07","N","BASET.BASET5","LAX"
"2025/11/27","VADDR","ONE","ZNY","2025/11/27","Y","BASYE.VADDR1","LGA"
"2025/11/27","BAUBB","THREE","ZLA","2024/12/26","Y","BAUBB.BAUBB3","LGB"
"2025/11/27","SUNSS","EIGHT","ZAB","2017/04/27","N","BAYBI.SUNSS8","CHD DVT FFZ GEU GYR IWA P19 SDL"
"2025/11/27","BAYST","ONE","ZLA","2018/05/24","Y","BAYST.BAYST1","LAX"
"2025/11/27","BAYYY","FIVE","ZHU","2023/04/20","Y","BAYYY.BAYYY5","HOU"
"2025/11/27","PUCKS","FOUR","ZHU","2021/09/09","Y","BAYYY.PUCKS4","HOU"
"2025/11/27","SOULL","ONE","ZHU","2015/01/08","Y","BAYYY.SOULL1","IAH"
"2025/11/27","BAZBL","ONE","ZHU","2024/10/31","Y","BAZBL.BAZBL1","6R3 CXO DWH IAH T78"
